id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude
4574713,Jaden Green,Washington,71.0,214.0,3.0,LS,Gilbert,AZ,USA,33.3527632,-111.789037
4575923,Elijah Jackson,Washington,73.0,193.0,3.0,CB,Carson,CA,USA,33.8322043,-118.2517547
4581579,Sekai Asoau-Afoa,Washington,76.0,263.0,4.0,DE,Tacoma,WA,USA,47.2455013,-122.438329
4588194,Dyson McCutcheon,Washington,71.0,182.0,3.0,DB,Claremont,CA,USA,34.0966764,-117.7197785
4683138,Voi Tunuufi,Washington,73.0,282.0,4.0,EDGE,South Jordan,UT,USA,40.5584882,-111.9367107
4683181,Robert Wyrsch,Washington,79.0,293.0,2.0,OL,Capitola,CA,USA,36.9762927,-121.954057
4683386,William Haskell,Washington,76.0,200.0,2.0,QB,Glendale,AZ,USA,33.5386858,-112.185994
4683554,Darren Barkins,Washington,71.0,169.0,3.0,CB,Spring Valley,CA,USA,32.7295705,-116.96688951775884
4684069,Maurice Heims,Washington,77.0,263.0,3.0,EDGE,Hamburg,,Germany,53.550341,10.000654
4685261,Germie Bernard,Washington,73.0,209.0,3.0,WR,Henderson,NV,USA,36.0319843,-114.9822486
4685322,Tristan Dunn,Washington,76.0,191.0,2.0,S,Sumner,WA,USA,47.2061882,-122.2312383
4685506,Ryan Otton,Washington,78.0,257.0,2.0,TE,Tumwater,WA,USA,47.0080655,-122.910368
4689338,Dillon Johnson,Washington,72.0,218.0,3.0,RB,Greenville,MS,USA,33.4111051,-91.0635857
4691142,Vincent Nunley,Washington,73.0,187.0,2.0,S,Oakland,CA,USA,37.8044557,-122.271356
4696013,Adam Saul,Washington,78.0,192.0,3.0,P,Gurnee,IL,USA,42.3702996,-87.9020186
4697671,Bradley McGannon,Washington,76.0,283.0,2.0,DL,Yelm,WA,USA,46.9413877,-122.60639
4697673,Addison Shrock,Washington,73.0,188.0,2.0,PK,Bellingham,WA,USA,48.7544012,-122.478836
4816090,Parker Brailsford,Washington,74.0,290.0,2.0,OL,Mesa,AZ,USA,33.4151005,-111.831455
4816097,Lance Holtzclaw,Washington,75.0,224.0,2.0,EDGE,Dorchester,MA,USA,42.301376000000005,-71.06127441375656
4832800,Denzel Boston,Washington,76.0,209.0,2.0,WR,South Hill,WA,USA,47.11986215,-122.29017095173586
4868898,Jalen Klemm,Washington,78.0,285.0,2.0,OL,Mars,PA,USA,40.6958342,-80.011878
4870758,Anthony James,Washington,77.0,272.0,1.0,DE,Lavon,TX,USA,33.0276193,-96.4341524
4870905,Caleb Presley,Washington,72.0,177.0,1.0,CB,Federal Way,WA,USA,47.313494,-122.33931
4870915,Curley Reed III,Washington,73.0,191.0,1.0,CB,Iowa,LA,USA,30.2368772,-93.0137569
4871068,Rashid Williams,Washington,73.0,181.0,1.0,WR,Brentwood,CA,USA,37.9317766,-121.696026
4875340,Davon Banks,Washington,71.0,184.0,3.0,CB,San Jacinto,CA,USA,33.7839664,-116.9589086
4875341,Camden Sirmon,Washington,72.0,196.0,3.0,WR,Missoula,MT,USA,46.8701049,-113.995267
4875346,Mason Wheeler,Washington,69.0,173.0,3.0,WR,Vancouver,WA,USA,45.6306954,-122.6744557
4875348,Milton Hopkins Jr.,Washington,76.0,232.0,3.0,EDGE,Seattle,WA,USA,47.6038321,-122.330062
4875350,Quentin Moore,Washington,76.0,257.0,4.0,TE,Kenmore,WA,USA,47.7596715,-122.2496367
4875351,Griffin Waiss,Washington,77.0,245.0,3.0,TE,San Jose,CA,USA,37.3361663,-121.890591
4876132,Josh Cuevas,Washington,75.0,251.0,3.0,TE,Los Angeles,CA,USA,34.0536909,-118.242766
4880856,Alex Froelich,Washington,74.0,213.0,2.0,LS,South Pasadena,CA,USA,34.1133062,-118.1478291
4880858,Jake Jennings,Washington,76.0,229.0,3.0,EDGE,Gig Harbor,WA,USA,47.3259697,-122.5878659
4890418,Teddy Purcell,Washington,73.0,186.0,3.0,QB,Atherton,CA,USA,37.453773,-122.2058272
4890419,Jack McCallister,Washington,72.0,205.0,3.0,P,Edmonds,WA,USA,47.8105738,-122.3774952
4890430,Antonio Hill,Washington,71.0,188.0,4.0,CB,Bellevue,WA,USA,47.6144219,-122.192337
4910844,Grady Gross,Washington,71.0,218.0,3.0,PK,Scottsdale,AZ,USA,33.4942189,-111.926018
4916379,Jayvon Parker,Washington,75.0,297.0,3.0,DL,Detroit,MI,USA,42.3315509,-83.0466403
4916380,Armon Parker,Washington,75.0,312.0,2.0,DL,Detroit,MI,USA,42.3315509,-83.0466403
4917046,Jay Green,Washington,75.0,208.0,3.0,S,Houston,TX,USA,29.7589382,-95.3676974
4918439,Elinneus Davis,Washington,74.0,309.0,1.0,DL,Moorhead,MN,USA,46.8739081,-96.7538674
4921406,Landen Hatchett,Washington,74.0,310.0,2.0,OL,Ferndale,WA,USA,48.8466698,-122.589723
4921520,Tybo Rogers,Washington,71.0,185.0,1.0,RB,Bakersfield,CA,USA,35.3738712,-119.019463
4923048,Deven Bryant,Washington,71.0,234.0,1.0,LB,Carson,CA,USA,33.8322043,-118.2517547
4923287,Elishah Jackett,Washington,79.0,271.0,1.0,OL,Orange,CA,USA,33.750631,-117.8722311
4940235,Taeshaun Lyons,Washington,73.0,177.0,1.0,WR,Hayward,CA,USA,37.6688205,-122.080796
4954503,Jordan Whitney,Washington,72.0,216.0,1.0,LB,Oxnard,CA,USA,34.1976308,-119.180381
4988081,Vincent Holmes,Washington,72.0,187.0,1.0,S,San Jacinto,CA,USA,33.7839664,-116.9589086
5017177,Keith Reynolds,Washington,69.0,180.0,1.0,WR,Adelanto,CA,USA,34.5827699,-117.409215
5077303,Jacob Lane,Washington,77.0,255.0,2.0,EDGE,Puyallup,WA,USA,47.1849009,-122.29214
5077669,Diesel Gordon,Washington,72.0,164.0,1.0,S,Arlington,TX,USA,32.7355816,-97.1071186
5077875,Zachary Henning,Washington,77.0,299.0,1.0,OL,Centennial,CO,USA,39.579155,-104.8769227
5078347,Soane Faasolo,Washington,80.0,295.0,1.0,OL,East Palo Alto,CA,USA,37.4688273,-122.141075
5078420,Leroy Bryant,Washington,71.0,180.0,1.0,CB,Fairfield,CA,USA,38.2493581,-122.039966
5079508,Austin Mack,Washington,78.0,236.0,1.0,QB,Folsom,CA,USA,38.6779591,-121.176058
5082670,Jakson Berman,Washington,71.0,190.0,2.0,CB,San Jose,CA,USA,37.3361663,-121.890591
5082671,Tristan Warner,Washington,73.0,206.0,2.0,S,Tacoma,WA,USA,47.2455013,-122.438329
5082672,Anay Nagarajan,Washington,71.0,190.0,3.0,CB,San Jose,CA,USA,37.3361663,-121.890591
5082673,Austin Harnetiaux,Washington,75.0,232.0,2.0,LB,Seattle,WA,USA,47.6038321,-122.330062
5082675,Griffin Miller,Washington,74.0,227.0,2.0,LB,Sammamish,WA,USA,47.6017554,-122.0416844
5082676,Jake Parnagian,Washington,70.0,204.0,2.0,WR,Clovis,CA,USA,36.8252277,-119.7029194
