"id","name","team","height","weight","year","position","hometown","state","country","latitude","longitude","formatted_height","stars"
4572051,"William Wagner","Michigan","74.0","245.0","4","LS","Alpharetta","GA","USA","34.070958","-84.274733","6'2""","0"
4572371,"Josh Wallace","Michigan","72.0","190.0","4","DB","Hyattsville","MD","USA","38.952944","-76.940865","6'0""","3"
4574689,"Trey Amos","Alabama","73.0","200.0","4","CB","New Iberia","LA","USA","30.003537","-91.818729","6'1""","3"
4574713,"Jaden Green","Washington","71.0","214.0","3","LS","Gilbert","AZ","USA","33.352763","-111.789037","5'11""","3"
4575529,"James Turner","Michigan","72.0","196.0","4","PK","Saline","MI","USA","42.166707","-83.781608","6'0""","0"
4575923,"Elijah Jackson","Washington","73.0","193.0","3","CB","Carson","CA","USA","33.832204","-118.251755","6'1""","3"
4576297,"AJ Barner","Michigan","78.0","251.0","4","TE","Aurora","OH","USA","41.317555","-81.345386","6'6""","3"
4578494,"Sawyer Goram-Welch","Texas","76.0","307.0","4","DL","Longview","TX","USA","32.500703","-94.740490","6'4""","3"
4581579,"Sekai Asoau-Afoa","Washington","76.0","263.0","4","DE","Tacoma","WA","USA","47.245501","-122.438329","6'4""","0"
4588194,"Dyson McCutcheon","Washington","71.0","182.0","3","DB","Claremont","CA","USA","34.096676","-117.719779","5'11""","3"
4592570,"Ian Jackson","Alabama","74.0","220.0","3","LB","Prattville","AL","USA","32.460014","-86.475317","6'2""","4"
4592837,"Terrion Arnold","Alabama","72.0","196.0","2","DB","Tallahassee","FL","USA","30.438083","-84.280933","6'0""","5"
4594449,"DeVonta Smith","Alabama","72.0","205.0","3","DB","Cincinnati","OH","USA","39.101454","-84.512460","6'0""","0"
4594984,"Tavierre Dunlap","Michigan","72.0","229.0","4","RB","Del Valle","TX","USA",NULL,NULL,"6'0""","3"
4596357,"Kechaun Bennett","Michigan","76.0","257.0","4","DE","Suffield","CT","USA","41.981694","-72.650660","6'4""","4"
4596545,"CJ Dippre","Alabama","77.0","262.0","4","TE","SCOTT TOWNSHIP","PA","USA","40.391656","-80.075790","6'5""","3"
4597500,"Adonai Mitchell","Texas","76.0","196.0","3","WR","Missouri City","TX","USA","29.618567","-95.537722","6'4""","4"
4599197,"Tristan Bounds","Michigan","80.0","305.0","4","OL","Wallingford","CT","USA","41.457042","-72.823155","6'8""","3"
4600387,"TJ Guy","Michigan","76.0","250.0","4","DE","Mansfield","MA","USA","42.033433","-71.218941","6'4""","3"
4602016,"Anquin Barnes Jr.","Alabama","77.0","314.0","2","DL","Montgomery","AL","USA","32.377420","-86.309168","6'5""","0"
4602199,"Charles Wright","Texas","73.0","203.0","2","QB","Austin","TX","USA","30.271129","-97.743700","6'1""","3"
4602936,"Morice Blackwell Jr.","Texas","73.0","220.0","4","LB","Arlington","TX","USA","32.735582","-97.107119","6'1""","4"
4603101,"Rod Moore","Michigan","72.0","198.0","4","DB","Clayton","OH","USA","39.863110","-84.360502","6'0""","3"
4603190,"Casey Cain","Texas","75.0","200.0","3","WR","New Orleans","LA","USA","29.975998","-90.078213","6'3""","3"
4611768,"Jaydon Hood","Michigan","73.0","225.0","4","LB","Fort Lauderdale","FL","USA","26.122308","-80.143379","6'1""","4"
4678008,"Jonathon Brooks","Texas","72.0","207.0","2","RB","Hallettsville","TX","USA","29.443853","-96.941093","6'0""","4"
4682698,"Dominick Giudice","Michigan","76.0","310.0","4","OL","Freehold","NJ","USA","40.260110","-74.273757","6'4""","3"
4682758,"Tommy Doman","Michigan","76.0","215.0","4","PK","Rochester Hills","MI","USA","42.658366","-83.149932","6'4""","3"
4682983,"Josaiah Stewart","Michigan","73.0","245.0","4","DE","Everett","MA","USA","42.408430","-71.053663","6'1""","3"
4683062,"Xavier Worthy","Texas","73.0","172.0","3","WR","Fresno","CA","USA","36.739442","-119.784830","6'1""","5"
4683118,"Ja'Den McBurrows","Michigan","71.0","194.0","4","DB","Fort Lauderdale","FL","USA","26.122308","-80.143379","5'11""","3"
4683138,"Voi Tunuufi","Washington","73.0","282.0","4","EDGE","South Jordan","UT","USA","40.558488","-111.936711","6'1""","3"
4683181,"Robert Wyrsch","Washington","79.0","293.0","2","OL","Capitola","CA","USA","36.976293","-121.954057","6'7""","3"
4683262,"Tyler McLaurin","Michigan","75.0","252.0","4","DE","Bolingbrook","IL","USA","41.700330","-88.071771","6'3""","3"
4683386,"William Haskell","Washington","76.0","200.0","2","QB","Glendale","AZ","USA","33.538686","-112.185994","6'4""","3"
