fid,PNT1N,PNT2N,ID1,ID2,distance
"431",players,schools,"5086017","1",48.3052607340874
"432",players,schools,"5086018","1",786.879460743196
"433",players,schools,"5086019","1",99.9714014887064
"434",players,schools,"5086021","1",696.339398586714
"435",players,schools,"5086022","1",1221.30907829694
"436",players,schools,"5086026","1",950.059342214475
"437",players,schools,"5088628","1",2457.7822949116
"438",players,schools,"5089445","2",2.05054851785872
"439",players,schools,"5089446","2",242.664030978127
"440",players,schools,"5089447","2",869.242829899831
"441",players,schools,"5089448","2",663.053876342797
"442",players,schools,"5089450","2",50.7297987704207
"443",players,schools,"5089452","2",56.8895014480366
"444",players,schools,"5089453","2",728.14658329187
"445",players,schools,"5089454","2",214.240871161064
"446",players,schools,"5089455","2",56.8895014480366
"447",players,schools,"5089456","2",127.849852699777
"448",players,schools,"5089458","2",236.710734476261
"449",players,schools,"5089459","2",228.777657962147
"450",players,schools,"5089461","2",2084.05993166702
"451",players,schools,"5089462","2",2.05054851785872
"452",players,schools,"5091783","1",239.600268495158
"453",players,schools,"5092246","1",145.604789862733
"454",players,schools,"5092262","1",239.600268495158
"455",players,schools,"5093292","2",72.5769591120201
"456",players,schools,"5095358","4",939.963860163558
"457",players,schools,"5095359","4",231.946202487316
"458",players,schools,"5098809","3",168.936567170249
"459",players,schools,"5100330","2",2107.41125166561
"460",players,schools,"5100332","2",71.0531333682177
"461",players,schools,"5100334","2",221.457947060702
"462",players,schools,"5103804","1",709.947928441228
"463",players,schools,"5104212","2",462.034476989876
"464",players,schools,"5108220","1",803.932575912677
"465",players,schools,"5121433","4",1836.02483817207
"466",players,schools,"5122374","4",5.59598076554601
"467",players,schools,"5150247","2",726.37724473299
"468",players,schools,"5150249","2",237.329278693287
"469",players,schools,"5150250","2",123.988916951775
"470",players,schools,"5150251","2",109.400581484862
"471",players,schools,"5150770","3",30.1535997014128
"472",players,schools,"5150771","3",1491.44769768949
"473",players,schools,"5150773","3",86.5376829436431
"474",players,schools,"5150775","3",1.33938876257465
"475",players,schools,"5150776","3",177.288687459737
"476",players,schools,"5150777","3",172.450133794377
"477",players,schools,"5150778","3",86.5376829436431
"478",players,schools,"5150779","3",1423.16706460813
"479",players,schools,"5150780","3",212.306721788056
"480",players,schools,"5151880","4",1282.39269711737
"481",players,schools,"5151881","4",5.59598076554601
"482",players,schools,"5151882","4",60.6961804601056
"483",players,schools,"5151883","4",572.389462922704
"484",players,schools,"5151884","4",48.099568226337
"485",players,schools,"5151885","4",5.59598076554601
"486",players,schools,"5151886","4",125.337860590728
"487",players,schools,"5151887","4",205.629291846205
"488",players,schools,"5151888","4",74.5356445298253
"489",players,schools,"5151889","4",114.717754748822
"490",players,schools,"5151890","4",134.69782677001
"491",players,schools,"5156342","1",669.630826758
"492",players,schools,"5156344","1",11.518523508217
"493",players,schools,"5156345","1",309.617236984884
"494",players,schools,"5156346","1",1268.57179601046
"495",players,schools,"5156347","1",657.531610921307
"496",players,schools,"5156348","1",136.725520414027
"497",players,schools,"5156349","1",548.979440403322
"498",players,schools,"5156350","1",652.599927389176
"499",players,schools,"5156351","1",308.629388823057
"500",players,schools,"5156352","1",770.534732207053
"501",players,schools,"5156353","1",279.00677918216
"502",players,schools,"5159905","2",54.8768825918518
"503",players,schools,"5159906","2",891.520607871086
"504",players,schools,"5159907","2",50.0031977407356
"505",players,schools,"5159908","2",239.641853909866
"506",players,schools,"5159909","2",123.549244377281
"507",players,schools,"5159910","2",138.894267276546
"508",players,schools,"5159911","2",108.497226197868
"509",players,schools,"5159912","2",664.132861468299
"510",players,schools,"5159913","2",208.634765879208
"511",players,schools,"5159914","2",72.5769591120201
"512",players,schools,"5159915","2",56.8895014480366
"513",players,schools,"5159916","2",56.8895014480366
"514",players,schools,"5159917","2",2.05054851785872
"515",players,schools,"5159918","2",142.573459600637
"516",players,schools,"5159919","2",55.4267622509563
"517",players,schools,"5159920","2",56.8895014480366
